TITLE,PUBL/DATES,DESCRIPT.,,SUBJECT,SOURCE,ADDED NAME
[Allen [sic] Oswald Coker],1918,reference in newspaper,"Of 5th Pioneer Battalion (5th Pioneers)  from Prospect  killed in action 29 July 1918, France.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Coker, Allan Oswald, 1879-1918;World War, 1914-1918 -- South Australia","Chronicle, 17 August 1918, p. 27, col. b;Chronicle, 31 August 1918, p. 39, col. a;Chronicle, 26 October 1918, p. 38, col. a",
[Private H. W. Richards],1918,"portrait (17 August, p. 26);reference in newspaper","Private, 11th Reinforcements, 10th Battalion  from Woodville  killed in action 7 July 1918, aged 29  electricity meter inspector  third son of Mr and Mrs W. Richards.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Richards, Harold William, 1889-1918;World War, 1914-1918 -- South Australia","Chronicle, 17 August 1918, p. 26, col. b  p. 39, col. a;Chronicle, 10 August 1918, p. 39, col. c",
[Private Maurice Theobald],1918,"reference in newspaper;portrait (2 November, p. 26)","Private, service number 4863, 43rd Battalion  from Meadows  killed in action 26 August 1918, France, aged 23 years and 7 months  banker  eldest son of Rev. Thomas and Mrs Theobald, fiance of Laura Genge.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Theobald, Maurice James, 1895-1918;World War, 1914-1918 -- South Australia","Chronicle, 14 September 1918, p. 27, col. e;Chronicle, 21 September 1918, p. 27, col. c;Chronicle, 2 November 1918, p. 26, col. d  p. 38, col. b",
[Private George Danford Neave],1918,reference in newspaper,"Private, 10th Battalion  killed in action 18 September 1915, Gallipoli  cousin of Fred (on active service) and Stella.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Neave, George Danford, 1894-1915;World War, 1914-1918 -- South Australia","Chronicle, 14 September 1918, p. 28, col. b;Chronicle, 21 September 1918, p. 28, col. e",
[Lieutenant Frank Rosevear],1918,reference in newspaper;portrait,"Lieutenant (acting Captain), 13th London Regiment  from Meadowside  killed in action 23 August 1918, aged 25  brother of L. A. Wilde and Captain Archie Rosevear (invalided out, London), son of Mrs E. C. Rosevear.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Rosevear, Frank, d. 1918.;World War, 1914-1918 -- South Australia","Chronicle, 7 September 1918, p. 27, col. c;Chronicle, 14 September 1918, p. 24, col. a  p.38, col. d",
[Private Harry Emsley],1918,reference in newspaper;portrait,"Private, 16th Battalion  from Prospect  killed in action 8 August 1918, France, aged 34  fourth son of Mrs J.E. Emsley.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Emsley, Harry, 1884-1918;World War, 1914-1918 -- South Australia","Chronicle, 14 September 1918, p. 24, col. b  p. 38, col. c",
[Private L. Dodd],1918,reference in newspaper;portrait,"Private, 43rd Battalion, service number 4776  from Broken Hill  killed in action 22 August 1918, France, aged 20.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Dodd, Lindsay Ray, 1897-1918;World War, 1914-1918 -- South Australia","Chronicle, 14 September 1918, p. 24, col. b;Chronicle, 28 September 1918, p. 38, col. d;Chronicle, 19 October 1918, p. 37, col. d",
[Lieutenant Sydney C. Stockham],1918,reference in newspaper;portrait,"Lieutenant, 27th Battalion  from Fullarton  died of wounds 18 August 1918, France, aged 28  youngest son of G. W. and S. Stockham.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Stockham, Sydney C., 1889-1918;World War, 1914-1918 -- South Australia","Chronicle, 7 September 1918, p. 27, col. c;Chronicle, 14 September 1918, p. 24, col. c  p. 38, col. d",
[Lieutenant Alfred H. Moss],1918,reference in newspaper;portrait,"Lieutenant, original 10th Battalion  from Smithfield  drowned from the torpedoed hospital ship Warilda, aged 21  second son of Mrs A.M. Moss  brother of Howard and Cyril.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Moss, Alfred Hubert, 1896-1918;World War, 1914-1918 -- South Australia","Chronicle, 17 August 1918, p. 27, col. c;Chronicle, 14 September 1918, p. 24, col. d",
[Private Claud William Mason],1918,reference in newspaper;portrait,"Private, service number 4169, D Company, 48th Battalion  born 24 November 1894  from O'Halloran Hill  killed in action 8 August 1918, France  youngest son of J.W. and E.A. Mason  student surveyor.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Mason, Claud William, 1894-1918;World War, 1914-1918 -- South Australia","Chronicle, 31 August 1918, p. 27, col. e;Chronicle, 28 September 1918, p. 34, col. e  p. 39, col. a;Chronicle, 14 September 1918, p. 24, col. d",
